review,label, , .1, .2, .3, .4, .5, .6
"Agro wisata bhumi merapi salah satu tempat wisata yang cukup baru di Jogja. Lingkungan yang masih asri dan udara yang segar cocok untuk weekend bareng keluarga, pacar, atau pun teman. Di sana para wisatawan bisa berinteraksi dengan binatang …",Positif, , , , , , , 
"Lokasi disekitar jalan kaliurang atas tapi sebelum TPR. Terdapat tempat parkir yang cukup luas. Tempatnya cocok untuk liburan bersama anak2. Di sana bisa melihat dan berinteraksi bersama binatang seperti kelinci, kuda, kambing, domba, …",Netral, , , , , , , 
Salah satu tempat wisata edukasi yang recommended untuk keluarga. Tiket masuk yg sangat terjangkau ditambah dengan fasilitas pendukung yg sangat lengkap. …,Positif, , , , , , , 
"Bisa sampai di tempat ini karena Instagram (thx berat IG) dan benar2 seneng banget, keren banget tempatnya, apalagi kalau Anda berniat datang bareng keluarga/ anak2.. Disini kita bisa mengenalkan anak pada banyak hewan. Tidak hanya menunjuk …",Positif, , , , , , , 
"Ajak anak2 anda ke sini dan gak akan kecewa. Interaksi sama alam dan hewan-hewan sampai puas. Cm catatan untuk pengelola, hewan2 jangan sampai dibiarkan kelaparan ya",Netral, , , , , , , 
"Tempatnya bagus banyak spot foto saya datang hari sabtu tapi jam 4 sore sepi tidak antri saat masuk dan di lokasi juga tidak terlalu ramai, banyak hewan hewanyaa tempatnya bersih bagus ✨",Positif, , , , , , , 
"Menurutku ini untuk wisata anaknya lumayan sih ya cuma kaya kurang hidup ya gak sih? atau mungkin belom terbangun semua yaa…ada hewan2 yang bisa diliat dan menarik untuk bocil2 tapi agak kaya kurang gress gmn gitu mnrtku, ada playground2 …",Negatif, , , , , , , 
"Bagus dan bersih.
Saran saya datengnya sebelum jam 9, biar begitu buka bisa langsung masuk. Karena kalo siang panas banget. Atau sore sekalian sekitar jam 15 sampai tutup.
Banyak spot foto Instagramable.",Netral, , , , , , , 
Tempat cuci tangan tersedia banyak. Lokasinya juga sejuk. HTM : 30k / orang. Cuma agak kesian sm hewan2nya kayak kelaperan gitu. Aquarium kurang terawat.,Negatif, , , , , , , 
"Temptnya cukup rame buat anak2 dan org dewasa, tiket masuk 35/orang. Kalo siang ckup pnas. Harga makanan mengikuti harga di tempat wisata",Netral, , , , , , , 
"Tidak terlalu luas, suasana sepi, tdk ada musik. Pembayaran hanya bisa cash. Seharusnya bisa cashless jg.
Setau saya mushola kecil hanya ada 1 di pojok.",Negatif, , , , , , , 
"Recommended. Bayar htm 30k aja udh bs gratis semua spot foto yg instagramable. Cocok jg buat yg ajak anak2 krn ada satwa2nya. Bisa dpt dua deh, wisata anak oke, dewasa oke. Akses jalannya juga bagus, tdk yg naik turun gunung. Tp emg ga ada view nya gunung merapi",Netral, , , , , , , 
"Sebetulnya agak janggal dan ganjal sama mini zoonya karena aku memang gak suka dengan konsep zoo yang dibuat tanpa persiapan proper apalagi kandangnya kecil. Im just simply don't like and against it. Tapi selain itu, tempatnya bagus, …",Negatif, , , , , , , 
"Jalan menuju lokasi sudah cukup bagus, engga terlalu sempit juga. Cuma penunjuk arah menuju lokasi sepanjang perjalanan yang agak kurang, harusnya bisa ditambah agar memudahkan para pelancong. Apalagi yang dari luar Jogja. Fasilitas umum …",Netral, , , , , , , 
Tempatnya adem banyak pepohonan. Ada banyak hewan-hewan kecil yang disukai anak-anak seperti berbagai jenis varian kelinci. Yang paling favorit banyak dikunjungi wisatawan adalah ular Piton dan burung Kakatua karena menarik untuk difoto. Walaupun hari libur nasional namun antrian masuk tidak begitu panjang.,Positif, , , , , , , 
Terakhir kesini 4 tahun lalu dan kemarin akhirnya kesini dg para krucils alhamdulillah makin lengkap dan anak2 suka dengan aneka satwa dsitu dan tentunya makin menarik. Ramai karena weekend tp tetep seru karena tempat luas jadi tetap aman lah gk terlalu berjubel hehee,Netral, , , , , , , 
"Bersih.. ya kalo ada bau2 dikit wajar, kan kandang. cocok buat momong bocah. Ada berkuna, mini train dan spot foto bagus",Netral, , , , , , , 
"Tempatnya ok. Untuk makan berat adanya di kuar . 1 tiket harga 30k. Untuk yg spot foto bagus di lalang buana. Petunjuknya agak kurang jelas. Tanya aja ke pegawainya ""yg kayak santorini dimana?"" Karena lumayan jauh dari tempet tiket masuk",Netral, , , , , , , 
"Awalnya tidak sesuai ekspektasi, tp ya lumayan lah tempatnya buat hunting foto yg instagramable, sayang rame bgt tdk d batasi jd kurang nyaman buat hunting foto",Negatif, , , , , , , 
"Tempatnya bagus asri bersih, cocok membawa balita untuk memperkenalkan hewan. Hewan2 juga terawat dgn baik. Tiket masuk terjangkau, parkir luas, banyak spot. Banyak foodtruck juga tidak khawatir kelaparan.",Positif, , , , , , , 
Oke sih.. Wajar kalau kandang hewan agak bau tp overall bersih dan layak dijadikan tempat wisata anak2 dan keluarga,Netral, , , , , , , 
Wisata edukasi yg cocok utk anak2. Hewan2 nya masih sedikit sihh. Dan masih pengembangan. Yg spot foto area2 kayak santorini dll bagus . HTM 25k,Netral, , , , , , , 
"Tempatnya nyaman, waktu pandemi ini nyaman karena tidak terlalu ramai. Ramah anak2 banget, ngasih makan hewan dsb. …",Positif, , , , , , , 
"So funn! Berkunjung pada hari kerja membuat tempat wisata tidak begitu ramai. Harga tiket 30 ribu/orang, sudah termasuk foto-foto dengan berbagai satwa di dalam. Ada tempat penyewaan kostum, penunggangan kuda, musholla, dan restoran. Worth …",Positif, , , , , , , 
"Lumayan buat spot foto, mgkin klu gag ada ""santorini ""kurang rame..",Netral, , , , , , , 
"Tempat wisata kekinian, lucu, tapi panas banget hahaha mesti bawa payumg n topi
Banyak spot buat foto2",Netral, , , , , , , 
"Lumayan sih ada minizoo, tp malah kasihan klo binatang² itu dikurung di tempat kecil 🥺, pengunjung dilarang bawa makanan dan minuman dr luar, tp mestinya diimbangi tersedianya minuman segar ya, td hampir jam 12 stand minuman tidak ada es.nya …",Negatif, , , , , , , 
"tempat nya bagus..cuma jalanan masuk nya ga bagus,yang bawa stroler susah untuk dorong krn jalanan ga rata..kalau bisa di ratakan saja ..kalau ada anak anak berlari bisa jatuh kesandung..",Negatif, , , , , , , 
"Asri, tertata, bersih, bisa untuk refreshing keluarga, kalau siang cukup panas meskipun dekat gunung merapi
Bisa mencicipi rasanya berkuda. Ada spot foto juga dengan tiket tambahan tentunya",Netral, , , , , , , 
"Kalau kesini datang weekday saja, tidak terlalu ramai, jadi bisa dapat spot foto banyak, tempat ok, nyaman, tapi kalau terlalu ramai sepertinya kurang nyaman",Netral, , , , , , , 
"Harga tiket 30.000 per orang

area tidak begitu luas …",Negatif, , , , , , , 
"Pertama kali kesini, tempatnya keren bersih, terawat, meskipun sepertinya masih ada renovasi sedikit. Htm 20.000 sangat murah untuk tempat yg luass",Netral, , , , , , , 
"Wisata dalam kota tapi menyenangkan tak perlu keluar kota,  HTM nya pun worth it dg wahana yg ada disana. Paling suka ada taman hewan, terutama kelinci lepas, anak bisa happy main dg kelinci, sedikit saran untuk kelinci lepas, area kotor …",Negatif, , , , , , , 
"Untuk spot fotonya cukup menarik, cuma beberapa kandang hewan terlihat kurang terawat, mungkin maintenance perlu ditingkatkan. Untuk stroller atau kursi roda butuh effort, kurang cocok ya untuk explore disini..semoga makin baik ke depannya..",Negatif, , , , , , , 
Tempatnya Luas cocok untuk anak anak kecil untuk mengenalkan pada binatang. untuk tempat makanya tapi kurang lengkap.,Netral, , , , , , , 
"2 kata Worth it. Tiket masuk 35 sangat lah worth it cuy hewan nya beneran beragam sekali bahkan ada kura kura yang lumayan langka serta ada komodo burung unta. Amazing cuy, cuman sayang kandangnya ada yang baunya agak kurang terutama yang …",Netral, , , , , , , 
"Oke sih buat foto-foto, tapi emang panas aja tempatnya",Negatif, , , , , , , 
Harga tiket 35k. Tempatnya tidak terlalu luas dan agak sepi bahkan saat weekend. Mungkin karena lokasi jauh dari pusat kota. Banyak spot foto yang bagus ( santorini dll) ada mini zoo juga. Disini kita bisa berinteraksi dengan hewan tanpa …,Negatif, , , , , , , 
"Wakakakakak...
Kemaren (020519) pertama kali saya berkunjung ketempat ini, dan saya kebablasen sampai parkiran Bus, karena gak ada tanda pintu masuk dan parkiran motornya... …",Negatif, , , , , , , 
Tiket 30.000 per orang si dua spot. Yaitu agrowisata binatang dan spot foto santorini. Menurut ku 30k agak kemahalan untuk tempat yang kecil gitu. Kalo buat anak kecil si worth it karena bisa ngasih makan hewan. Tapi kalo buat aku kurang …,Negatif, , , , , , , 
"Menarik untuk wisata edukasi anak, tempatnya bersih gak bau, binatangnya ramah, walaupun agak sedikit mahal tiket masuknya. Plus sayang pegawai di kantinnya kurang cekatan. Banyak meja orang selesai makan gak diberesin, pelayanannya kurang cepet. Lebih banyak ngobrol sama becandanya. Overal, menarik buat ajak anak kecil kesana.",Negatif, , , , , , , 
"Tempat untuk mengenalkan hewan keseharian kepada anak. Karena bs dipegang. Untuk tempat cukup, tidak begitu luas. Better pagi, atau after jam 3, biar gak terlalu terik pas mau kesini.",Netral, , , , , , , 
"Tempatnya sedikit kurang terawat. Ada minizoo, pelayanan ramah banget, tempat parkir luas, datang ke sini pas liburan tdk terlalu ramai. Bagian paling dalam lokasi di desain ala2 eropa ssntorini, bagus banget buat foto2. Overall, moga utk lbh dirapikan lg tempatnya hingga pengunjung bs lbh puas menikmati suasana tempat wisatanya.",Negatif, , , , , , , 
"Tempatnya bersih, luas. Spot foto lucu2, instagram able, to kalo siang panas bet. Wqwq ada perkebunan, kasih makan rusa, domba. Eh domba pa kambing ya? Trus ada restoran juga tp ga nyoba krn takit mahal 😂😂😂 poto2 aja ciin …",Netral, , , , , , , 
"Spot wisata yang menawarkan spot foto dan kebun binatang mini. Koleksi binatangnya tidak banyak tapi cukup unik2. Yang ok, anak2 bisa berinteraksi langsung dengan hewan2 yg ada. Terdapat spot2 foto yg ""ala2"" luar negeri: ada santorini, …",Positif, , , , , , , 
Disini ada mini zoo juga cuman kurang rame pengenjung aja. Tapi untuk berwisata disini bagus bangettt,Netral, , , , , , , 
"Ada gazebonya,cuma agak bau di area kucing sama burung onta. Tapi anak anak suka lah main di sini,minizoo tapi keren",Negatif, , , , , , , 
"Tiket parkir tertulis 3k, tapi di karcis 5k dengan alasan wiken..
Tiket masuk nya terlalu mahal dengan apa yg ada di dalam -_-",Negatif, , , , , , , 
"Di depan sih ga begitu eyecatching ya, tapi pas masuk gate untuk ke spot2 santorini dll tuh emang bagus beeeet beettt. Kalo kalian gakuat sm cuaca panas terik, better ke lokasinya jam 3 ke atas deh, kalo jam2 matahari di atas kepala bgt …",Netral, , , , , , , 
"Spot fotonya bagus2 tapi kurang banyak, cocok buat keluarga 👍 …",Netral, , , , , , , 
"Tempatnya enak sih buat momong bocah
Anak² senang , parkiran jg enak banyak pohonya,,
Hewan² nya kurang banyakkkk hehe namanya juga mini zoo.. udh 2x kesini, dulu …",Netral, , , , , , , 
"Kali kedua datang kesini, setelah yg pertama sekitar tahun 2018/2019. Tidak banyak kemajuan dibanding saat pertama berkunjung, selain adanya tambahan spot foto selfie terbaru. Dulu waktu masuk sini masih dapat voicher yang dapat ditukarkan …",Netral, , , , , , , 
"mbak2 yg dipersewaan baju ,cuek banget ga mau bantu pilih atau pasang

klo pengunjung ga nanya bakalan diam trs🥴🥴 …",Negatif, , , , , , , 
"Mini zoo yang compact dan ada kombinasi spot foto ala2 mancanegaranya. Hewan tidak terlalu banyak tapi terawat dengan baik. Bisa kasi makan domba, rusa dan burung unta. Untuk hewan lain tidak diperkanankan. Tiket masuk aku pas weekday …",Positif, , , , , , , 
"Lokasi wisata yang bertemakan hewan dan pedesaan sangat cocok untuk edukasi kepada anak anak tentang hewan, dari semua lokasi paling suka dengan kelinci yang bisa langsung pegang dan bermain bersama. Tempat bersih fasilitas lengkap, seperti nya ada spot untuk ngopi dan mengobrol dengan santai juga.",Positif, , , , , , , 
"Harga tiket masuk 35.000, parkir 5000, saya kesitu hari senin jadi agak sepi tempatnya, hewannya bermacam macam, ada rusa, kakaktua, kelinci, babi pun ada disini. Buat Santorininya bagus lah buat foto2 sama buat story instagram",Positif, , , , , , , 
"Tiket masuk terjangkau dengan wahana yang ada, ada banyak spot foto yang aethetic dan instagramable.. cocok untuk mengajak anak-anak liburan, ataupun siapa saja yang suka berfoto ria.. jangan khawatir takut kehausan, karna banyak penjual makanan jd bisa mmbelii makan dan minuman.",Positif, , , , , , , 
"Bagus buat photo shoot dan bagi ibu2 yg punya anak kecil harus diajak kesini utk memperkenalkan alam dan fauna sejak dini
Recomended",Positif, , , , , , , 
"Tempatnya asik, bersih, nyaman buat holiday bareng keluarga. Kmrn kesini tgl 28 juni ga terlalu ramai. Tiket masuknya 35rb/org. Anak 3 thn kebawah sepertinya gratis. Koleksi satwanya juga lumayan lengkap. Spot fotonya cantik2.Di dalam …",Positif, , , , , , , 
"Cuaca sejuk, walaupun macam hewan terbatas tapi udah bagus bgt ..anak2nya dapet hiburan binatang2, dewasanya foto2 cangtip. Resto di dalam area nya pun menu2nya proper utk keluarga, anak >1th",Positif, , , , , , , 
"tempat wisata keluarga
anak anak bisa berinteraksi langsung dengan hewan seperti kelinci yang dibiarkan bebas, memberi susu ke domba, naik kuda …",Positif, , , , , , , 
"Lumayan bagus tempatnya, hari ini bukan weekend jadi lagi sepi
Ada banyak jenis kelinci, kambing, kuda, ular, kura2, iguana dan binatang unggas. …",Positif, , , , , , , 
"Banyak satwa dan banyak teman buat hunt foto, kalian bisa menemukan juga resto buat makan ketika lapar, sangat tidak disarankan saat weekend, dimana semuanya akan ramai dan kalian gak bisa foto sesuka hati, untuk parkiran luas, dan bisa di …",Netral, , , , , , , 
"Cukup bagus 👍👍 tersedia juga fasilitas untuk saudara-saudara kita yang difabel dan cukup nyaman dan ramah untuk mengelilingi area agro wisata bhumi merapi bagi saudara-saudara kita yang difabel, kedepannya semoga lebih bagus lagi mungkin kalau lebih banyak pohon lebih bagus 👍👌 …",Netral, , , , , , , 
"Salah satu tmpt agro wisata di Kaliurang, di sini kita bs menikmati mini zoo, agro wisata, ber swa foto di berbagai tmpt terkenal di dunia di wahana lang lang dunia dll. Tmptnya menarik dan luas. HTM murah cm 30K utk weekday & 35K utk weekend.",Netral, , , , , , , 
"konsep nya bagus
cocok untuk keluarga
tidak hanya menyediakan tempat foto untuk para orang tua …",Positif, , , , , , , 
Tempat wisatanya lumayan bagus.,Netral, , , , , , , 
"destinasi keluarga di kawasan merapi. terdapst berbagai jenis hewan yg dapat langsung berinteraksi. mau naik kuda ada, memberi makan jg bs.",Positif, , , , , , , 
Wahana wisata yang sangat ramah anak dengan pelayanan yang ramah juga. Ada banyak tempat foto dan binatang binatang menarik.,Positif, , , , , , , 
"Datang pas hari Jum'at ternyata rame juga,walaupun tempat wisatanya baru 80% tingkat jadinya. Masih ada pembangunan dibeberapa spot. Tiket masuk 20rb dapat susu satu cup kecil. Lalu untuk masuk wahana lain akan dikenakan biaya tambahan lagi …",Negatif, , , , , , , 
"Objek wisata yang menarik.
Merasakan suasana peternakan kambing, kelinci, serta terdapat berbagai macam hewan. Bisa dijadikan alternatif wisata kebun binatang. Bisa memberi makan hewan …",Positif, , , , , , , 
"Tempatnya rindang, adem, ada binatang yang cocok dilihat anak-anak, spot fotonya bagus-bagus. Recommended",Positif, , , , , , , 
"Tempatnya bagus, naik kuda 20.000.pengen naik kuda tp tempat beli tiketnya agak jauh dr arena kudanya.bnyk spot foto yg bagus², bisa foto dgn binatang. Datang hari ke 4 lebaran pas cuaca grimis jd ga bisa estetik buat foto pake payung.",Negatif, , , , , , , 
"Tempat sepi, dan di dalemnya juga kurang menarik. Sepertinya harus dibuat sesuatu yg lebih menarik agar pengunjung lebih ramai yg datang 🙏🏻 …",Negatif, , , , , , , 
"Tempat nya cukup jauh dari pusat kota jogja, namun mudah di akses, ada plang nya besar di pinggir jalan, udara disana sejuk, untuk tiket masuk standar ya, banyak spot foto di dalam, ada mini eropa, termasuk santorini yang cukup unik, ada …",Netral, , , , , , , 
"Pertama kali berkunjung k tempat ini,trnyata bagus sekali.areanya bersih dn sngt instagrammable.bnyk spot2 foto yg bgus dan di dlm lokasi ad cafe shingga pengunjung tdk perlu tkut kelaparan.family n children friendly  krn ad bbrp koleksi hewan2",Positif, , , , , , , 
"Untuk family pasti seru banget sih ini, ada mini zoo, banyak spot foto yg aesthetic, toilet bersih. Pemandangan bagus. Worth it.",Positif, , , , , , , 
"Argo wisata bhumi merapi adalah salah satu destinasi yang wajib di kunjungi
Suasana sejuk
Pemandangan indah …",Positif, , , , , , , 
"Tempatnya kids friendly... ada mini zoo nya, ada area foto2nya... tiket masuk 30rb... tapi kalo anak2 mau naik kuda bayar 20rb, naik kereta bayar 15rb... puas sih ksini... cuma pas siang2 panas poll🤭 …",Netral, , , , , , , 
"Untuk wisata ini tidak sebanding dengan apa yang disuguhkan , hiburan maupun binatang yang ada cukup sedikit.
Konsep wisata disini tidak jelas arahnya , mau mini zoo atau tempat foto2 .",Negatif, , , , , , , 
"Tempatnya luas. Wahana tentang binatang juga cukup. Ada ikan, kambing, kuda, rusa, reptil,dan kelinci. Di sana juga ada taman hidroponik meskipun tidak terlalu luas. Ada juga kegiatan menanam dan outbond. Parkir luas. Bisa pesan makanan di …",Positif, , , , , , , 
Tempatnya cukup seru.. Tapi Untuk area yg ada kucing baunya ga nahan banget.. Mungkin bisa lebih ditingkatkan lagi kebersihannya..,Negatif, , , , , , , 
"Tempatnya luas dan rindang.cuma minusnya ada bbrp kandang yg kecil dan tdk masuk udara, dan ada bbrp kandang yg sempit dan kna panas.jujur sebgai penyuka dan peconta binatang jdi sedih lihtnya.tolong donk jdi perhatian owner dan pengurus.mksih",Negatif, , , , , , , 
"tempatnya sih lumayan bagus, mudah dijangkau, ada area dengan banyak hewan, area rumah hobbit, dan ada area foto-foto dengan suasana seperti di eropa..
sayang kalau mau masuk dengan kamera  DSLR ataupun Mirrorless / digital kamera …",Negatif, , , , , , , 
"Tempat asik buat piknik, anak-anak dijamin seneng, bisa berinteraksi langsung sama binatang kesayangan yg sudah jinak, tiket masuk 30rb kebetulan pas Minggu, kurang tau weekend & weekday sama atau nggak harga tiketnya, tempatnya juga sejuk, banyak pohonnya...worth it lah ✌️😁 …",Positif, , , , , , , 
"Masuknya 25 rb, bagi aku sih yang dewasa sedikit kurang ya, mungkin apa belom jadi semua, tapi buat bawa anak2 kecil okelah karena ada binatangnya, cuma penataan agak kurang asik aja apalagi yg ditengah ada kudanya harusnya lebih dikasih …",Negatif, , , , , , , 
wisata nya bagus banyak spot foto Dan zoo nya tapi kurang terawat,Negatif, , , , , , , 
"Tempatnya ternyata cukup luas, yang msih kurang binatang untuk interaksi dengan anak2, jika lebih banyak sepertinya akan lebih seru. Mungkin yang domba bisa kasih makan langsung dalam kandang akan lbh menyenangkan lagi, kelinci yang dilepaskan ditambah.",Negatif, , , , , , , 
"Tempat wisata yang asiiik, HTM 30k per org, diawal ada minizoo, kita bisa melihat dan berinteraksi langsung dengan binatang yg lucu dan imut. Disini jg banyak spot foto yang menarik, unik dan isnstagramable 👍😀 …",Positif, , , , , , , 
"fasilitas ada untuk outbond dewasa / anak2, bisa selusur sungai dan ke sumber mata air kali kuning, ada area flora & fauna, untuk fauna pengunjung bisa berinteraksi dengan hewan2 yg sudah jinak, ada kelinci,kambing,sapi perah,luwak, …",Positif, , , , , , , 
Tempat wisata yang ramah buat anak2 karena banyak binatang2 yang bisa diberi makanan dan juga tempat spot foto2 seperti di Alpen dan Santorini,Positif, , , , , , , 
"Tempatnya cocok banget buat yang pengen ngisi content, sebenernya kids friendly karena ada mini farmnya. Tapi kalo emang niat buat foto-foto doang better ga ajak anak kecil karena pasti terlalu asik buat foto-foto dan anak kecilnya jadi …",Netral, , , , , , , 
"🎋luas lahannya, cuma bangunannya kasar.. Htm 20.000 tidak sesuai dengan loket masuk, yang katanya sudah semua, ternyata masuk wahana selfy harus bayar lagi..10.000..tidak apa-apa sih, cuma jangan beri penerangan yang menjebak.. Rekomendasi …",Negatif, , , , , , , 
"tempat fotonya bagus, seperti diluar negeri",Positif, , , , , , , 
"tempat yang menyenangkan, edukatif, dan banyak spot selfi, tiket masuk sekitar 30rb an. saat tgl merah biasanya ramai. naik kuda 12rb an, ada hewan bebek, kambing, rusa, dan burung merpati, ada kantin, dan arena main anak, ayunan dan prosotan",Positif, , , , , , , 
"Tempat yang bagus untuk anak-anak berkenalan dengan hewan-hewan. Disana terdapat kelinci, ular, kura-kura, kambing, kuda dan beberapa satwa lainnya.
Kita dapat juga naik kuda maupun menyusui kambing dengan membeli tiket terlebih …",Positif, , , , , , , 
"Bagus tempatnya, bersih rapi gak bau (kecuali kandang kambing). Tempatnya terawat, biaya masuk juga murah dengan fasilitas yang kita dapatkan.
Mushala ada, orangnya ramah kalo ditanyain.
Rekomended buat yang jalan keluarga.",Positif, , , , , , , 
"Lokasinya luas, protokol kesehatan diterapkan, tiket masuk 25rb, aneka satwa spt kelinci, burung dara,rusa,ular, reptil dll.cocok untuk klg dg ank kecil, bisa memberi mkn burung, rusa harga 5rb & naik kuda tarif 20rb, kemudian resto,musholla & toilet ada didlm lokasi & diluar area,trus ada tempat Selfi yg ala Santorini.",Netral, , , , , , , 
"Tempat wisata yg adem & ramah anak. Terakhir kesana ada beberapa tambahan spot baru, seperti balon udara.",Positif, , , , , , , 
"Cocok untuk tempat wisata bersama keluarga, bisa interaksi dengan satwa. Ada banyak spot fotonya juga...  Mungkin binatangnya aja perlu dibanyakin lagi biar lebih seru...",Positif, , , , , , , 
"Kids friendly, banyak binatang dan spot foto, makanan utk binatang dijatah jadi kalo tmptnya rame n makanannya udah abis mereka ga restocking, htm @30k, hati2 klincinya kalo masih laper masih gigit",Positif, , , , , , , 
"Tiket cuma 30rb

Worth it! Ramah stroller. Cuma pas bagian santirini aja gabisa masuk stroller …",Negatif, , , , , , , 
"Tiket masuk 30.000 per orang, parkir motor 5000
Tempatnya asik, banyak spot foto instagramable. Cocok utk wisata keluarga",Positif, , , , , , , 
"Htm 35k worth it bangeeett main kesini!! Walaupun dateng pas weekend tp sepi, jd bisa puas foto2 di bagian santorini, UK, morocco, vienna😂 hewan2nya juga lumayan banyak & interaktif bisa dikasih makan kangkung & jagung. …",Positif, , , , , , , 
"Bagus, tempatnya Baby friendly, aksesnya dari satu wahana ke wahana lainnya ada untun stroler bayi, lokasi ini cocok untuk keluarga. Membawa balita, batita, ataupun baby. Cuma pilihan makanannya sedikit. Dan hewannya masih sedikit. Sisanya, …",Negatif, , , , , , , 
"Tempat terbaik untuk membawa anak anak bermain dan belajar.. Konsep outdoor cocok untuk pandemi...htm 30k..masuk langlang buana spot foto santorini sudah gratis.. Naik kuda 20k..pakan kelinci, rusa, domba, merpati @5k...",Positif, , , , , , , 
"Tempatnya keren, spot foto bagus dan tersedia tempat istirahat yg cukup. Cocok untuk anak2 karena bisa mengenal beberapa jenis binatang dan bisa melakukan aktivitas menunggangi kuda",Positif, , , , , , , 
Sebeneranya hampir bagus semua lokasi di sleman. 12km dekat merapi walau terik anginnya masih sejuk pegunungan.banyak spot foto dan mini zoo.Sayang banget pas ke kandang Kucing ras yang isi cukup banyak ras Bengal dan ada caracal 1 .TAPI …,Netral, , , , , , , 
"tempat yang bagus untuk rekreasi keluarga,, bisa outbond juga,, anak riang orang tua pun senang,, ada mini zoo nya juga,,",Positif, , , , , , , 
"Tepat wisata yang pas banget buat jalan2 sama keluarga, terutama untuk anak kecil disini sangat ramah anak.
Selain tempatnya luas, sejuk, juga terdapat banyak area untuk anak2nbisa bermain …",Positif, , , , , , , 
"Pengen banget kesini gara2 waktu nikah dulu temen dari surabaya duluan ke Bhumi Merapi. Bener aja ga kecewa, tapi pas kesini hujan jadi nambah estetika dalam berswafoto..",Positif, , , , , , , 
"Tempatnya di jakal km 20an, sekitar setengah jam dari kota jogja. Tempatnya gampang dicari, ada plang do pinggir jalannya. Tiket masuk hari minggu kemarin 30k. Didalemnya ada kebun binatang mini, ada tempat foto2 kekinian seperti di Santorini. Tempatnya adem, banyak tempat duduknya. Recommend untuk tempat liburan keluarga.",Positif, , , , , , , 
